"centrale_serial";"lecteur_serial"
"1101-2506000258";"22465200002400002b00002524000102"
"1101-2506000848";"22465200002400002b00002524000099"
"1101-2506000149";"22465200002400002b00002524000014"
"1101-2506000529";"22465200002400002b00002524000019"
"1101-2506000069";"22465200002400002b00002524000027"
"1101-2506000096";"22465200002400002b00002524000088"
"1101-2506000189";"22465200002400002b00002524000095"
"1101-2506000486";"22465200002400002b00002524000052"
"1101-2506000647";"22465200002400002b00002524000077"
"1101-2506000216";"22465200002400002b00002524000018"
"1101-2506000571";"22465200002400002b00002524000005"
"1101-2506000465";"22465200002400002b00002524000028"
"1101-2506000330";"22465200002400002b00002524000103"
"1101-2506000622";"22465200002400002b00002524000010"
"1101-2506000806";"22465200002400002b00002524000097"
"1101-2522000808";"22465200002400002b00002524000048"
"1101-2522000865";"22465200002400002b00002524000072"
"1101-2506000508";"22465200002400002b00002524000003"
"1101-2506000380";"22465200002400002b00002524000035"
"1101-2522000975";"22465200002400002b00002524000022"
"1101-2524000354";"22465200002400002b00002524000025"
"1101-2524000372";"22465200002400002b00002524000090"
"1101-2524000328";"22465200002400002b00002524000113"
"1101-2524000361";"22465200002400002b00002524000108"
"1101-2524000359";"22465200002400002b00002524000062"
"1101-2524000443";"22465200002400002b00002524000023"
"1101-2524000383";"22465200002400002b00002524000073"
"1101-2524000377";"22465200002400002b00002524000070"
"1101-2506000345";"22465200002400002b00002524000012"
"1101-2524000466";"22465200002400002b00002524000042"
"1101-2524000392";"22465200002400002b00002524000040"
"1101-2524000448";"22465200002400002b00002524000007"
"1101-2524000447";"22465200002400002b00002524000068"
"1101-2524000364";"22465200002400002b00002524000083"
"1101-2524000444";"22465200002400002b00002524000882"
"1101-2524000452";"22465200002400002b00002524000043"
"1101-2524000428";"22465200002400002b00002524000054"
"1101-2524000369";"22465200002400002b00002524001029"
"1101-2524000387";"22465200002400002b00002524001034"
"1101-2524000396";"22465200002400002b00002524000013"
"1101-2524000363";"22465200002400002b00002524001039"
"1101-2524000431";"22465200002400002b00002524001054"
"1101-2524000332";"22465200002400002b00002524001042"
"1101-2524000423";"22465200002400002b00002524001043"
"1101-2506000961";"22465200002400002b00002524001032"
"1101-2524000374";"22465200002400002b00002524001033"
"1101-2524000331";"22465200002400002b00002524001049"
"1101-2524000304";"22465200002400002b00002524000024"
"1101-2506000693";"22465200002400002b00002524001035"
"1101-2524000451";"22465200002400002b00002524001030"
"1101-2524000349";"22465200002400002b00002524000093"
"1101-2506000671";"22465200002400002b00002524001024"
"1101-2522000968";"22465200002400002b00002524001023"
"1101-2524000481";"22465200002400002b00002524001057"
"1101-2522000957";"22465200002400002b00002524001060"
"1101-2522000886";"22465200002400002b00002524001047"
"1101-2522000764";"22465200002400002b00002524001014"
"1101-2522000960";"22465200002400002b00002524001053"
"1101-2506000530";"22465200002400002b00002524001055"
"1101-2523000154";"22465200002400002b00002524001009"
"1101-2522000863";"22465200002400002b00002524001028"
"1101-2522000722";"22465200002400002b00002524001040"
"1101-2524000416";"22465200002400002b00002524001050"
"1101-2524000362";"22465200002400002b00002524001059"
"1101-2524001256";"22465200002400002b00002524001037"
"1101-2524001309";"22465200002400002b00002524000894"
"1101-2522000963";"22465200002400002b00002524000965"
"1101-2537001910";"22465200002400002b00002524000904"
"1101-2524001527";"22465200002400002b00002524000959"
"1101-2524001412";"22465200002400002b00002524000950"
"1101-2522000994";"22465200002400002b00002524000935"
"1101-2524001303";"22465200002400002b00002524000917"
"1101-2524001244";"22465200002400002b00002524000930"
"1101-2524001307";"22465200002400002b00002524000954"
"1101-2524001301";"22465200002400002b00002524000964"
"1101-2524001306";"22465200002400002b00002524000938"
"1101-2524001514";"22465200002400002b00002524000960"
"1101-2524001407";"22465200002400002b00002524000952"
"1101-2524001312";"22465200002400002b00002524000939"
"1101-2524001488";"22465200002400002b00002524000922"
"1101-2522000834";"22465200002400002b00002524000905"
"1101-2625000159";"22465200002400002b00002524000948"
"1101-2523000156";"22465200002400002b00002524000958"
"1101-2522000861";"22465200002400002b00002524000955"
"1101-2522000839";"22465200002400002b00002524000975"
"1101-2522000763";"22465200002400002b00002524001018"
"1101-2522000761";"22465200002400002b00002524000977"
"1101-2524000321";"22465200002400002b00002524000980"
"1101-2522000878";"22465200002400002b00002524000985"
"1101-2522000860";"22465200002400002b00002524000967"
"1101-2506000175";"22465200002400002b00002524001017"
"1101-2524000449";"22465200002400002b00002524000992"
"1101-2524000239";"22465200002400002b00002524001052"
"1101-2524000341";"22465200002400002b00002524001019"
"1101-2506000687";"22465200002400002b00002524000979"
"1101-2524000252";"22465200002400002b00002524000997"
"1101-2524000344";"22465200002400002b00002524001020"
"1101-2524000417";"22465200002400002b00002524000998"
"1101-2524000232";"22465200002400002b00002524000973"
"1101-2625001006";"22465200002400002b00002524000974"
"1101-2522000862";"22465200002400002b00002524000994"
"1101-2522000931";"22465200002400002b00002524001002"
"1101-2522000807";"22465200002400002b00002524001004"
"1101-2522000928";"22465200002400002b00002524000999"
"1001-2526000214";"22465200002400002b00002524000969"
"1101-2524000336";"22465200002400002b00002524000895"
"1101-2522000866";"22465200002400002b00002524000907"
"1101-2524001297";"22465200002400002b00002524000940"
"1101-2524000389";"22465200002400002b00002524000962"
"1101-2522000840";"22465200002400002b00002524000129"
"1101-2522000833";"22465200002400002b00002524000109"
"1101-2522000762";"22465200002400002b00002524000115"
"1101-2522000882";"22465200002400002b00002524000134"
"1101-2506000807";"22465200002400002b00002524000117"
"1101-2506000474";"22465200002400002b00002524000133"
"1101-2522000765";"22465200002400002b00002524000135"
"1101-2524000388";"22465200002400002b00002524000127"
"1101-2524000438";"22465200002400002b00002524000130"
"1101-2522000917";"22465200002400002b00002524000168"
"1101-2522000880";"22465200002400002b00002524000138"
"1101-2522000760";"22465200002400002b00002524000149"
"1101-2524000296";"22465200002400002b00002524000157"
"1101-2522000879";"22465200002400002b00002524000148"
"1101-2524000437";"22465200002400002b00002524000159"
"1101-2524000342";"22465200002400002b00002524000124"
"1101-2524000322";"22465200002400002b00002524000147"
"1101-2524000426";"22465200002400002b00002524000155"
"1101-2524000436";"22465200002400002b00002524000174"
"1101-2524000326";"22465200002400002b00002524000164"
"1101-2524000393";"22465200002400002b00002524000169"
"1101-2524000432";"22465200002400002b00002524000163"
"1101-2524000256";"22465200002400002b00002524000158"
"1101-2524000233";"22465200002400002b00002524000182"
"1101-2524000291";"22465200002400002b00002524000122"
"1101-2524000268";"22465200002400002b00002524000123"
"1101-2524000271";"22465200002400002b00002524000178"
"1101-2506000058";"22465200002400002b00002524000190"
"1101-2506000352";"22465200002400002b00002524000180"
"1101-2524001328";"22465200002400002b00002524000310"
"1101-2524000238";"22465200002400002b00002524000292"
"1101-2524000227";"22465200002400002b00002524000317"
"1101-2524001383";"22465200002400002b00002524000309"
"1101-2524001208";"22465200002400002b00002524000289"
"1101-2506000055";"22465200002400002b00002524000274"
"1101-2524001136";"22465200002400002b00002524000272"
"1101-2524001339";"22465200002400002b00002524000293"
"1101-2524001342";"22465200002400002b00002524000290"
"1101-2506000804";"22465200002400002b00002524000302"
"1101-2506000335";"22465200002400002b00002524000304"
"1101-2524001326";"22465200002400002b00002524000287"
"1101-2506000351";"22465200002400002b00002524000298"
"1101-2524001186";"22465200002400002b00002524000315"
"1101-2524001381";"22465200002400002b00002524000273"
"1101-2524001334";"22465200002400002b00002524000323"
"1101-2524001336";"22465200002400002b00002524000222"
"1101-2524001202";"22465200002400002b00002524000294"
"1101-2625000404";"22465200002400002b00002524000284"
"1101-2524001249";"22465200002400002b00002524000248"
"1101-2524001332";"22465200002400002b00002524000283"
"1101-2524001343";"22465200002400002b00002524000263"
"1101-2524001418";"22465200002400002b00002524000183"
"1101-2524001423";"22465200002400002b00002524000299"
"1101-2524001567";"22465200002400002b00002524000218"
"1101-2524001142";"22465200002400002b00002524000262"
"1101-2506000383";"22465200002400002b00002524000275"
"1101-2506000207";"22465200002400002b00002524000318"
"1101-2506000963";"22465200002400002b00002524000244"
"1101-2524001378";"22465200002400002b00002524000227"
"1101-2524001214";"22465200002400002b00002524000268"
"1101-2524001508";"22465200002400002b00002524000238"
"1101-2625000247";"22465200002400002b00002524000277"
"1101-2524001086";"22465200002400002b00002524000235"
"1101-2506000362";"22465200002400002b00002524000153"
"1101-2506000343";"22465200002400002b00002524000259"
"1101-2524001221";"22465200002400002b00002524000247"
"1101-2524001251";"22465200002400002b00002524000209"
"1101-2506000929";"22465200002400002b00002524000237"
"1101-2524001044";"22465200002400002b00002524000204"
"1101-2625000364";"22465200002400002b00002524000120"
"1101-2524001094";"22465200002400002b00002524000257"
"1101-2506000493";"22465200002400002b00002524000242"
"1101-2524001338";"22465200002400002b00002524000213"
"1101-2524001583";"22465200002400002b00002524000192"
"1101-2524001047";"22465200002400002b00002524000187"
"1101-2524001207";"22465200002400002b00002524000203"
"1101-2524001273";"22465200002400002b00002524000202"
"1101-2506000903";"22465200002400002b00002524000185"
"1101-2506000387";"22465200002400002b00002524000255"
"1101-2524001391";"22465200002400002b00002524000245"
"1101-2625000687";"22465200002400002b00002524000234"
"1101-2524001448";"22465200002400002b00002524000212"
"1101-2625000388";"22465200002400002b00002524000205"
"1101-2625000763";"22465200002400002b00002524000125"
"1101-2524001143";"22465200002400002b00002524000208"
"1101-2524001346";"22465200002400002b00002524000214"
"1101-2524001098";"22465200002400002b00002524000225"
"1101-2524000407";"22465200002400002b00002524000367"
"1101-2524000453";"22465200002400002b00002524000552"
"1101-2524000251";"22465200002400002b00002524000619"
"1101-2524000408";"22465200002400002b00002524000558"
"1101-2524000356";"22465200002400002b00002524000585"
"1101-2524000412";"22465200002400002b00002524000534"
"1101-2524001611";"22465200002400002b00002524000628"
"1101-2524000246";"22465200002400002b00002524000545"
"1101-2524000471";"22465200002400002b00002524000572"
"1101-2524000348";"22465200002400002b00002524000557"
"1101-2524000329";"22465200002400002b00002524000549"
"1101-2524000343";"22465200002400002b00002524000578"
"1101-2524000253";"22465200002400002b00002524000575"
"1101-2524000243";"22465200002400002b00002524000582"
"1101-2524000274";"22465200002400002b00002524000512"
"1101-2524001586";"22465200002400002b00002524000540"
"1101-2524001517";"22465200002400002b00002524000618"
"1101-2524000463";"22465200002400002b00002524000677"
"1101-2524000457";"22465200002400002b00002524000598"
"1101-2524000462";"22465200002400002b00002524000553"
"1101-2524000454";"22465200002400002b00002524000550"
"1101-2524000254";"22465200002400002b00002524000354"
"1101-2524000337";"22465200002400002b00002524000364"
"1101-2524000266";"22465200002400002b00002524000365"
"1101-2524000293";"22465200002400002b00002524000337"
"1101-2524000279";"22465200002400002b00002524000378"
"1101-2524000347";"22465200002400002b00002524000368"
"1101-2524000306";"22465200002400002b00002524000340"
"1101-2524000273";"22465200002400002b00002524000372"
"1101-2524000283";"22465200002400002b00002524000353"
"1101-2524001282";"22465200002400002b00002524000320"
"1101-2524000338";"22465200002400002b00002524000330"
"1101-2524000286";"22465200002400002b00002524000343"
"1101-2524000312";"22465200002400002b00002524000359"
"1101-2524000309";"22465200002400002b00002524000360"
"1101-2524000277";"22465200002400002b00002524000809"
"1101-2524000282";"22465200002400002b00002524000335"
"1101-2524000317";"22465200002400002b00002524000865"
"1101-2524000276";"22465200002400002b00002524000675"
"1101-2524000247";"22465200002400002b00002524000824"
"1101-2524000346";"22465200002400002b00002525000791"
"1101-2524001519";"22465200002400002b00002524000362"
"1101-2524000236";"22465200002400002b00002524000658"
"1101-2506000697";"22465200002400002b00002525000247"
"1101-2524001296";"22465200002400002b00002525000245"
"1101-2524000298";"22465200002400002b00002525000252"
"1101-2524001233";"22465200002400002b00002524000819"
"1101-2506000139";"22465200002400002b00002525000815"
"1101-2524001293";"22465200002400002b00002525000254"
"1101-2524001288";"22465200002400002b00002525000795"
"1101-2524001304";"22465200002400002b00002524000637"
"1101-2524001268";"22465200002400002b00002524000827"
"1101-2524001283";"22465200002400002b00002524000562"
"1101-2524001289";"22465200002400002b00002524000542"
"1101-2524001291";"22465200002400002b00002524000515"
"1101-2524001277";"22465200002400002b00002524000538"
"1101-2524001266";"22465200002400002b00002524000599"
"1101-2524001272";"22465200002400002b00002525000805"
"1101-2524000278";"22465200002400002b00002525000249"
"1101-2524000352";"22465200002400002b00002525000246"
"1101-2524001566";"22465200002400002b00002524000338"
"1101-2524001278";"22465200002400002b00002524000808"
"1101-2524001286";"22465200002400002b00002524000348"
"1101-2524001522";"22465200002400002b00002524000332"
"1101-2524001243";"22465200002400002b00002524000350"
"1101-2524001473";"22465200002400002b00002524000352"
"1101-2524001552";"22465200002400002b00002524000345"
"1101-2524001294";"22465200002400002b00002524000319"
"1101-2524001239";"22465200002400002b00002524000605"
"1101-2524001299";"22465200002400002b00002524000830"
